,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,100,AU,1562365525,86,-23.58,149.07,59.81,22.15
1,Ushuaia,75,AR,1562365527,80,-54.81,-68.31,39.2,6.93
2,Hasaki,75,JP,1562365528,94,35.73,140.83,68.0,13.87
3,Hokitika,0,NZ,1562365529,56,-42.72,170.96,44.33,4.97
4,Port Elizabeth,40,US,1562365391,83,39.31,-74.98,87.01,8.05
5,Mataura,60,NZ,1562365532,94,-46.19,168.86,45.0,3.67
6,Lagoa,0,PT,1562365533,77,37.14,-8.45,69.01,8.05
7,Dikson,0,RU,1562365535,83,73.51,80.55,37.13,14.9
8,Sola,16,TZ,1562365536,46,-3.17,33.8,68.99,3.58
9,Punta Arenas,0,CL,1562365537,75,-53.16,-70.91,42.01,18.34
10,Mayo,40,CA,1562365539,34,63.59,-135.9,78.8,9.17
11,Jamestown,19,AU,1562365252,69,-33.21,138.6,55.31,14.41
12,Kendari,14,ID,1562365541,96,-3.99,122.52,67.73,2.17
13,Pevek,0,RU,1562365543,68,69.7,170.27,45.59,22.44
14,Rikitea,100,PF,1562365544,70,-23.12,-134.97,68.45,26.02
15,Beloha,0,MG,1562365545,86,-25.17,45.06,62.87,2.46
16,Lebu,75,ET,1562365547,83,8.96,38.73,60.71,1.21
17,Los Llanos de Aridane,75,ES,1562365548,88,28.66,-17.92,71.6,12.75
18,Castro-Urdiales,40,ES,1562365549,88,43.38,-3.22,71.6,6.93
19,Bereda,40,ES,1562365552,100,43.27,-7.54,66.0,3.36
20,Carnarvon,0,ZA,1562365553,42,-30.97,22.13,45.05,4.03
21,Smalininkai,0,LT,1562365554,71,55.07,22.58,52.97,10.92
22,Albany,40,US,1562365371,46,42.65,-73.75,91.0,9.17
23,Broome,0,GB,1562365557,87,52.47,1.45,66.2,6.93
24,Butaritari,0,KI,1562365558,71,3.07,172.79,83.93,6.44
25,Souillac,0,FR,1562365560,50,45.6,-0.6,77.0,9.93
26,Hermanus,15,ZA,1562365561,93,-34.42,19.24,53.01,5.01
27,Castro,0,CL,1562365563,87,-42.48,-73.76,44.6,4.7
28,Puerto Ayora,20,EC,1562365564,69,-0.74,-90.35,77.0,16.11
29,Busselton,100,AU,1562365565,84,-33.64,115.35,46.0,18.86
30,Port Alfred,0,ZA,1562365567,79,-33.59,26.89,53.01,8.01
31,Cerrito,75,CO,1562365569,88,6.84,-72.7,75.2,0.43
32,Tuktoyaktuk,90,CA,1562365570,87,69.44,-133.03,55.4,9.17
33,Evensk,0,RU,1562365572,72,61.92,159.24,54.77,2.35
34,Cape Town,75,ZA,1562365369,87,-33.93,18.42,57.0,11.41
35,Calabozo,95,VE,1562365574,81,8.92,-67.43,84.11,3.8
36,Sao Filipe,24,CV,1562365575,85,14.9,-24.5,73.49,17.27
37,Ostrovnoy,100,RU,1562365577,99,68.05,39.51,46.13,7.65
38,Bafoulabe,100,ML,1562365578,86,13.81,-10.83,76.55,19.91
39,Severo-Kurilsk,100,RU,1562365580,95,50.68,156.12,43.25,17.76
40,Cherskiy,91,RU,1562365581,78,68.75,161.3,59.09,6.38
41,Georgetown,75,GY,1562365582,94,6.8,-58.16,78.8,4.7
42,Bonthe,100,SL,1562365584,92,7.53,-12.5,76.37,9.06
43,Vaini,100,IN,1562365585,88,15.34,74.49,77.45,8.14
44,Jumla,80,NP,1562365586,95,29.28,82.18,53.69,2.44
45,Porto Novo,75,BR,1562365588,87,-23.68,-45.44,55.4,5.82
46,Bathsheba,20,BB,1562365589,69,13.22,-59.52,82.4,19.46
47,Lubango,19,AO,1562365590,46,-14.92,13.49,62.87,3.06
48,Upington,0,ZA,1562365592,60,-28.46,21.24,43.97,2.59
49,Saint Anthony,1,US,1562365593,25,43.97,-111.68,77.0,8.05
50,Iqaluit,75,CA,1562365595,93,63.75,-68.52,41.0,4.7
51,Arraial do Cabo,75,BR,1562365596,94,-22.97,-42.02,68.0,13.87
52,Ribeira Grande,20,PT,1562365598,82,38.52,-28.7,66.2,3.36
53,Saint-Philippe,75,CA,1562365599,83,45.36,-73.48,87.01,4.7
54,Olonets,100,RU,1562365601,92,60.98,32.97,52.43,11.41
55,Filingue,87,NE,1562365602,36,14.35,3.32,93.11,2.15
56,Atuona,11,PF,1562365603,79,-9.8,-139.03,81.23,19.73
57,Baia de Cris,23,RO,1562365604,85,46.17,22.72,58.91,1.63
58,Ponta do Sol,43,BR,1562365606,90,-20.63,-46.0,62.33,10.27
59,Mitsamiouli,20,KM,1562365607,78,-11.38,43.28,75.2,6.93
60,Sao Joao da Barra,20,BR,1562365608,83,-21.64,-41.05,69.8,20.8
61,The Pas,1,CA,1562365610,40,53.82,-101.24,69.8,5.82
62,Kavaratti,100,IN,1562365611,75,10.57,72.64,83.93,20.51
63,Kodiak,40,US,1562365612,83,39.95,-94.76,84.0,8.05
64,Key Largo,1,US,1562365543,62,25.09,-80.45,90.0,6.93
65,Saint-Pierre,0,FR,1562365616,52,48.95,4.24,68.0,6.93
66,Havre-Saint-Pierre,1,CA,1562365617,64,50.23,-63.6,68.0,3.36
67,Hobart,20,AU,1562365458,93,-42.88,147.33,39.99,8.05
68,Polunochnoye,18,RU,1562365620,95,60.87,60.43,46.49,3.78
69,Lazurne,0,UA,1562365621,57,46.77,34.99,65.93,8.01
70,Komsomolskiy,94,RU,1562365623,61,67.55,63.78,62.51,11.56
71,Sibolga,17,ID,1562365446,78,1.74,98.78,81.95,6.35
72,Sobolevo,33,RU,1562365626,96,54.43,31.9,47.93,8.52
73,Nemuro,100,JP,1562365627,94,43.32,145.57,52.07,4.5
74,Laguna,40,BZ,1562365629,66,16.17,-88.94,89.6,6.93
75,Touros,20,BR,1562365365,83,-5.2,-35.46,77.0,5.82
76,Vila Velha,40,BR,1562365632,78,-3.71,-38.6,86.0,11.41
77,Katsuura,75,JP,1562365633,83,33.93,134.5,73.4,8.05
78,Chinhoyi,0,ZW,1562365635,57,-17.36,30.19,52.79,3.6
79,Kapaa,1,US,1562365637,70,22.08,-159.32,84.2,8.05
80,Avarua,45,CK,1562365392,77,-21.21,-159.78,69.8,10.29
81,Hambantota,20,LK,1562365639,100,6.12,81.12,80.6,6.93
82,Taoudenni,34,ML,1562365641,8,22.68,-3.98,100.67,3.65
83,Am Timan,50,TD,1562365642,75,11.04,20.28,75.83,5.01
84,Mahebourg,75,MU,1562365351,73,-20.41,57.7,71.6,4.7
